Year, Latitude, Tilt Angle, Azimuth Angle
2018 ,28.58 ,10 ,-51

n, Time, Hour Angle, Declination, cosQ, cosQz, Ib, Id, Ig, F, It
1 ,5 : 0 ,105 ,-0.401629 ,-0.485103 ,-0.396204 ,-679.797 ,176.725 ,-503.072 ,0.876595 ,-636.78
1 ,5 : 15 ,101.25 ,-0.401629 ,-0.433155 ,-0.344694 ,-623.721 ,186.378 ,-437.343 ,0.818389 ,-582.422
1 ,5 : 30 ,97.5 ,-0.401629 ,-0.37998 ,-0.292509 ,-569.363 ,200.488 ,-368.876 ,0.704597 ,-528.567
1 ,5 : 45 ,93.75 ,-0.401629 ,-0.325806 ,-0.239872 ,-519.001 ,222.857 ,-296.144 ,0.433699 ,-476.987
1 ,6 : 0 ,90 ,-0.401629 ,-0.270864 ,-0.187008 ,-477.764 ,263.142 ,-214.622 ,-0.503246 ,-433.245
1 ,6 : 15 ,86.25 ,-0.401629 ,-0.215391 ,-0.134145 ,-461.282 ,354.185 ,-107.097 ,-9.93712 ,-448.109
1 ,6 : 30 ,82.5 ,-0.401629 ,-0.159623 ,-0.0815077 ,-552.571 ,698.276 ,145.704 ,-21.9672 ,-484.76
1 ,6 : 45 ,78.75 ,-0.401629 ,-0.1038 ,-0.0293224 ,-4319.71 ,15173.7 ,10854 ,-0.954358 ,-130.255
1 ,7 : 0 ,75 ,-0.401629 ,-0.04816 ,0.0221877 ,0.0463581 ,0.215204 ,0.261562 ,0.323058 ,0.114615
1 ,7 : 15 ,71.25 ,-0.401629 ,0.00705804 ,0.072802 ,12.616 ,17.8491 ,30.4652 ,0.656737 ,19.1339
1 ,7 : 30 ,67.5 ,-0.401629 ,0.0616177 ,0.122304 ,46.4151 ,39.0892 ,85.5043 ,0.791004 ,62.9258
1 ,7 : 45 ,63.75 ,-0.401629 ,0.115286 ,0.170481 ,89.6163 ,54.1438 ,143.76 ,0.858153 ,116.038
1 ,8 : 0 ,60 ,-0.401629 ,0.167832 ,0.217127 ,136.33 ,64.6719 ,201.002 ,0.896479 ,172.593
1 ,8 : 15 ,56.25 ,-0.401629 ,0.219032 ,0.262043 ,183.904 ,72.2864 ,256.191 ,0.920387 ,230.111
1 ,8 : 30 ,52.5 ,-0.401629 ,0.268665 ,0.305036 ,230.944 ,77.9818 ,308.926 ,0.93628 ,287.257
1 ,8 : 45 ,48.75 ,-0.401629 ,0.31652 ,0.345922 ,276.606 ,82.3608 ,358.966 ,0.947358 ,343.168
1 ,9 : 0 ,45 ,-0.401629 ,0.362392 ,0.384526 ,320.317 ,85.801 ,406.118 ,0.955365 ,397.215
1 ,9 : 15 ,41.25 ,-0.401629 ,0.406084 ,0.420682 ,361.656 ,88.5481 ,450.204 ,0.961315 ,448.903
1 ,9 : 30 ,37.5 ,-0.401629 ,0.447409 ,0.454236 ,400.291 ,90.7678 ,491.059 ,0.965834 ,497.833
1 ,9 : 45 ,33.75 ,-0.401629 ,0.48619 ,0.485044 ,435.952 ,92.5752 ,528.527 ,0.96932 ,543.676
1 ,10 : 0 ,30 ,-0.401629 ,0.522262 ,0.512975 ,468.411 ,94.0521 ,562.463 ,0.972039 ,586.16
1 ,10 : 15 ,26.25 ,-0.401629 ,0.555469 ,0.537908 ,497.476 ,95.258 ,592.734 ,0.974172 ,625.061
1 ,10 : 30 ,22.5 ,-0.401629 ,0.585669 ,0.559737 ,522.983 ,96.2368 ,619.22 ,0.975846 ,660.192
1 ,10 : 45 ,18.75 ,-0.401629 ,0.612733 ,0.578368 ,544.794 ,97.0209 ,641.815 ,0.977149 ,691.402
1 ,11 : 0 ,15 ,-0.401629 ,0.636546 ,0.593721 ,562.793 ,97.6345 ,660.427 ,0.978145 ,718.561
